[   20184ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   20184ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   21497ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   25182ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   25183ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   25183ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   25656ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
[   25656ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/tasks?max_results=20:0
[   25659ms] [ERROR] Access to fetch at 'http://localhost:8100/status' from origin 'http://127.0.0.1:5175' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ http://127.0.0.1:5175/:0
[   25659ms] [ERROR] Failed to load resource: net::ERR_FAILED @ http://localhost:8100/status:0
[   25670ms] [ERROR] WebSocket connection to 'ws://localhost:8000/ws/status' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@fs/Users/coffeedev/Projects/03_AGENTIC-DEVOPS/agentic-devops-pipeline-v2/packages/data-client/src/index.ts:188
[   25689ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   26868ms] [ERROR] WebSocket connection to 'ws://localhost:8000/ws/status' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@fs/Users/coffeedev/Projects/03_AGENTIC-DEVOPS/agentic-devops-pipeline-v2/packages/data-client/src/index.ts:188
[   27007ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   28573ms] [ERROR] WebSocket connection to 'ws://localhost:8100/socket.io/?EIO=4&transport=websocket' failed: Error during WebSocket handshake: Unexpected response code: 403 @ http://127.0.0.1:5175/node_modules/.vite/deps/socket__io-client.js?v=2c659208:1523
[   29220ms] [ERROR] WebSocket connection to 'ws://localhost:8000/ws/status' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:5175/@fs/Users/coffeedev/Projects/03_AGENTIC-DEVOPS/agentic-devops-pipeline-v2/packages/data-client/src/index.ts:188
[   30657ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/loop/queue:0
